log_file,model_name,crash_reason,run_status,hw_num_cores,hw_systolic_throughput_GFLOPS,hw_spad_size_KB,hw_accumulator_size_KB,hw_dram_bandwidth_GBs,hw_tensor_parallelism,hw_pipeline_parallelism,model_num_layers_total,model_num_sim_layers,model_weight_size_GB,model_has_l2,model_scheduler,mem_total_GB,mem_weight_GB,mem_kv_cache_GB,mem_activation_GB,timing_total_cycles,timing_total_us,timing_total_compute_cycles,timing_wall_clock_seconds,timing_model_init_seconds,timing_total_tiles,timing_tiles_per_second,timing_cycles_per_wall_sec,compute_total_GFLOPs,compute_effective_TFLOPS,compute_avg_systolic_util_pct,compute_avg_pe_util_pct,compute_avg_memory_idle_pct,compute_avg_core_idle_pct,compute_gemm_memory_bound_pct,compute_gemm_avg_arithmetic_intensity,core_avg_systolic_array_util_pct,core_avg_pe_util_pct,core_avg_vector_unit_util_pct,core_avg_memory_idle_pct,core_avg_core_idle_pct,core_avg_matmul_active_cycles,core_avg_total_cycles,core_avg_tiles_finished,core_avg_instructions_executed,core_avg_instructions_per_tile,core_avg_systolic_inst_issue,core_avg_systolic_preload,sram_total_hits,sram_total_misses,sram_hit_rate,sram_avg_bytes_req,sram_avg_bytes_rcv,acc_sram_total_hits,acc_sram_total_misses,acc_sram_hit_rate,icnt_core_to_icnt_GBs,icnt_icnt_to_core_GBs,icnt_icnt_to_mem_GBs,icnt_mem_to_icnt_GBs,dram_num_channels,dram_avg_bw_utilization_pct,dram_total_reads,dram_total_writes,dram_avg_row_hit_rate_pct,dram_avg_row_miss_rate_pct,dram_avg_row_conflict_rate_pct,dram_avg_memory_system_cycles,dram_avg_read_requests,dram_avg_write_requests,l2_num_banks,l2_num_ways,l2_num_sets,l2_overall_hit_rate,l2_overall_miss_rate,l2_cache_util_pct,l2_total_hits,l2_total_misses,l2_total_evictions,l2_total_writebacks,l2_min_bank_hit_rate,l2_max_bank_hit_rate,l2_hit_rate_variance,hist_total_bytes,hist_total_count,hist_avg_object_size,hist_num_size_classes,hist_top1_size_bytes,hist_top1_total_bytes,hist_top1_bytes_pct,hist_top2_size_bytes,hist_top2_total_bytes,hist_top2_bytes_pct,layer_gemm_cycles,layer_gemm_count,layer_gemm_pct,layer_attention_cycles,layer_attention_count,layer_attention_pct,layer_ffn_fc1_cycles,layer_ffn_fc2_cycles,layer_QKV_projection_cycles,layer_attn_projection_cycles,layer_mamba_in_proj_cycles,layer_mamba_x_proj_cycles,layer_mamba_dt_proj_cycles,layer_mamba_out_proj_cycles,layer_mamba_ssm_cycles,layer_elementwise_mul_cycles,layer_elementwise_add_cycles,layer_elementwise_exp_cycles,layer_other_cycles,mamba_num_steps,mamba_steps_crashed
mamba_130m_[13_steps],,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,2473272013,2473272,312000,76252.895166,0.164923,557469,10.680811,44765.0,106.290227,0.0,6.388269,0.047115,96.886669,44.280062,100.0,0.9991,6.388269,0.047115,0.000192,96.886669,44.280062,198.0,432001.0,24.75,325.5,13.156154,207.0,207.0,1368597864,5062474665,0.21281,6917112.0,6965496.0,754554,377212128,0.001996,0.0,0.0,0.0,0.0,16,10.116765,300405568,6512678,81.601569,1.346315,17.052131,518608.0,53347.25,1156.56,,,,,,,,,,,,,,5565654724982496,4910575491,1133401.72,15.0,1572864,5223951542255616,93.8605,393216,163248485695488,2.9331,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,135144000,2338122382,13,0
logs_apr4/opt-125m_s1.log,opt-125m,nlohmann json type error,all_13_steps_crashed,4,131072.0,32768,4096,614.0,1,1,1,1,0.09,false,Simple Language scheduler,0.09,0.09,0.0,0.0,144001,144,24000,5.416821,0.088284,40,7.744151,26584.0,0,,11.4525,0.0725,95.1472,30.5587,,,11.4525,0.0725,0.0225,95.1472,30.5587,108.0,144001.0,10.0,198.0,19.8,114.0,114.0,116771,483234,0.194617,3560448.0,3565056.0,456,50570,0.008937,0.0,0.0,0.0,0.0,16,15.052631578947368,27822,49,83.927,1.35,14.723,172870.0,27831.0,48.0,,,,,,,,,,,,,,173958684672,446064,389985.93,6,786432,115964116992,66.6619,196608,57982058496,33.3309,0,0,0.0,31999,1,22.22,24000,24000,24000,15999,0,0,0,0,0,0,0,0,0,13,13
