log_file,model_name,crash_reason,run_status,hw_num_cores,hw_systolic_throughput_GFLOPS,hw_spad_size_KB,hw_accumulator_size_KB,hw_dram_bandwidth_GBs,hw_tensor_parallelism,hw_pipeline_parallelism,model_num_layers_total,model_num_sim_layers,model_weight_size_GB,model_has_l2,model_scheduler,mem_total_GB,mem_weight_GB,mem_kv_cache_GB,mem_activation_GB,timing_total_cycles,timing_total_us,timing_total_compute_cycles,timing_wall_clock_seconds,timing_model_init_seconds,timing_total_tiles,timing_tiles_per_second,timing_cycles_per_wall_sec,compute_total_GFLOPs,compute_effective_TFLOPS,compute_avg_systolic_util_pct,compute_avg_pe_util_pct,compute_avg_memory_idle_pct,compute_avg_core_idle_pct,compute_gemm_memory_bound_pct,compute_gemm_avg_arithmetic_intensity,core_avg_systolic_array_util_pct,core_avg_pe_util_pct,core_avg_vector_unit_util_pct,core_avg_memory_idle_pct,core_avg_core_idle_pct,core_avg_matmul_active_cycles,core_avg_total_cycles,core_avg_tiles_finished,core_avg_instructions_executed,core_avg_instructions_per_tile,core_avg_systolic_inst_issue,core_avg_systolic_preload,sram_total_hits,sram_total_misses,sram_hit_rate,sram_avg_bytes_req,sram_avg_bytes_rcv,acc_sram_total_hits,acc_sram_total_misses,acc_sram_hit_rate,icnt_core_to_icnt_GBs,icnt_icnt_to_core_GBs,icnt_icnt_to_mem_GBs,icnt_mem_to_icnt_GBs,dram_num_channels,dram_avg_bw_utilization_pct,dram_total_reads,dram_total_writes,dram_avg_row_hit_rate_pct,dram_avg_row_miss_rate_pct,dram_avg_row_conflict_rate_pct,dram_avg_memory_system_cycles,dram_avg_read_requests,dram_avg_write_requests,l2_num_banks,l2_num_ways,l2_num_sets,l2_overall_hit_rate,l2_overall_miss_rate,l2_cache_util_pct,l2_total_hits,l2_total_misses,l2_total_evictions,l2_total_writebacks,l2_min_bank_hit_rate,l2_max_bank_hit_rate,l2_hit_rate_variance,hist_total_bytes,hist_total_count,hist_avg_object_size,hist_num_size_classes,hist_top1_size_bytes,hist_top1_total_bytes,hist_top1_bytes_pct,hist_top2_size_bytes,hist_top2_total_bytes,hist_top2_bytes_pct,layer_gemm_cycles,layer_gemm_count,layer_gemm_pct,layer_attention_cycles,layer_attention_count,layer_attention_pct,layer_ffn_fc1_cycles,layer_ffn_fc2_cycles,layer_QKV_projection_cycles,layer_attn_projection_cycles,layer_conv_cycles,layer_mamba_in_proj_cycles,layer_mamba_x_proj_cycles,layer_mamba_dt_proj_cycles,layer_mamba_out_proj_cycles,layer_mamba_ssm_cycles,layer_elementwise_mul_cycles,layer_elementwise_add_cycles,layer_elementwise_exp_cycles,layer_elementwise_div_cycles,layer_elementwise_sub_cycles,layer_elementwise_neg_cycles,layer_activation_sigmoid_cycles,layer_activation_silu_cycles,layer_slice_cycles,layer_concat_cycles,layer_expand_cycles,layer_repeat_cycles,layer_reshape_cycles,layer_other_cycles,mamba_num_steps
mamba_tiny_s16384.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,4456448001,4456448,8000,80199.898334,0.005779,720896,8.988753,55567.0,0,,0.46,0.0,99.8527,69.8555,,,0.46,0.0,0.0,99.8527,69.8555,81920.0,4456448001.0,180224.0,712704.0,3.95,106496.0,106496.0,11313473,234504843,0.046024,3229614080.0,3277848576.0,425984,136314880,0.003115,1651245.0,1651245.0,1651245.0,1651245.0,16,0.3508170952072481,24311808,1533952,93.2415,0.0098,6.7486,5349877552.0,24266752.0,1533952.0,,,,,,,,,,,,,,31131424522240,412811264,75413.21,10,131072,17592186044416,56.5094,65536,13194139533312,42.3821,786391041,98304,17.65,0,0,0.0,0,0,0,0,0,0,0,0,0,0,786407422,262119423,131072000,131072000,131072000,0,0,262144000,786432000,131072000,0,73731,0,1048576000,
mamba_tiny_s2.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,544001,544,8000,14.71437,0.006996,88,6.054233,36971.0,0,,0.4625,0.0,99.8527,69.8552,,,0.4625,0.0,0.0,99.8527,69.8552,10.0,544001.0,22.0,87.0,3.965,13.0,13.0,1626,28729,0.053566,394240.0,400128.0,52,16640,0.003115,201.0,201.0,201.0,201.0,16,0.34782608695652173,2960,182,93.1062,1.016,5.8778,653062.0,2962.25,187.25,,,,,,,,,,,,,,3800222720,50392,75413.21,10,131072,2147483648,56.5094,65536,1610612736,42.3821,95997,12,17.65,0,0,0.0,0,0,0,0,0,0,0,0,0,0,95996,31996,16000,16000,16000,0,0,32000,96000,16000,0,10,0,128000,
mamba_tiny_s2048.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,557056001,557056,8000,15280.491051,0.003108,90112,5.897253,36455.0,0,,0.46,0.0,99.8526,69.8555,,,0.46,0.0,0.0,99.8526,69.8555,10240.0,557056001.0,22528.0,89088.0,3.9525,13312.0,13312.0,1413733,29313102,0.04601,403701760.0,409731072.0,53248,17039360,0.003115,206405.0,206405.0,206405.0,206405.0,16,0.3509043927648579,3038976,191744,93.2415,0.0107,6.7477,668734694.0,3033344.0,191744.0,,,,,,,,,,,,,,3891428065280,51601408,75413.21,10,131072,2199023255552,56.5094,65536,1649267441664,42.3821,98298881,12288,17.65,0,0,0.0,0,0,0,0,0,0,0,0,0,0,98300926,32764927,16384000,16384000,16384000,0,0,32768000,98304000,16384000,0,9219,0,131072000,
mamba_tiny_s256.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,69632001,69632,8000,2319.54208,0.009188,11264,4.856659,30020.0,0,,0.46,0.0,99.8527,69.8555,,,0.46,0.0,0.0,99.8527,69.8555,1280.0,69632001.0,2816.0,11136.0,3.9525,1664.0,1664.0,177120,3664257,0.046108,50462720.0,51216384.0,6656,2129920,0.003115,25800.0,25800.0,25800.0,25800.0,16,0.3512861736334405,379887,23956,93.2438,0.018,6.7382,83591837.0,379168.0,23968.0,,,,,,,,,,,,,,486428508160,6450176,75413.21,10,131072,274877906944,56.5094,65536,206158430208,42.3821,12287361,1536,17.65,0,0,0.0,0,0,0,0,0,0,0,0,0,0,12287614,4095615,2048000,2048000,2048000,0,0,4096000,12288000,2048000,0,1155,0,16384000,
mamba_tiny_s32.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,8704001,8704,8000,239.612874,0.007581,1408,5.880298,36325.0,0,,0.46,0.0,99.8526,69.8555,,,0.46,0.0,0.0,99.8526,69.8555,160.0,8704001.0,352.0,1392.0,3.955,208.0,208.0,22100,457926,0.046039,6307840.0,6402048.0,832,266240,0.003115,3225.0,3225.0,3225.0,3225.0,16,0.3526170798898072,47491,2989,93.2421,0.0732,6.6847,10448980.0,47396.0,2996.0,,,,,,,,,,,,,,60803563520,806272,75413.21,10,131072,34359738368,56.5094,65536,25769803776,42.3821,1535921,192,17.65,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1535950,511951,256000,256000,256000,0,0,512000,1536000,256000,0,147,0,2048000,
mamba_tiny_s4.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,1088001,1088,8000,40.986083,0.006983,176,4.326269,26546.0,0,,0.46,0.0,99.8527,69.8553,,,0.46,0.0,0.0,99.8527,69.8553,20.0,1088001.0,44.0,174.0,3.9525,26.0,26.0,3009,56940,0.050193,788480.0,800256.0,104,33280,0.003115,403.0,403.0,403.0,403.0,16,0.35036496350364965,5931,375,93.2578,0.508,6.2342,1306123.0,5924.5,374.5,,,,,,,,,,,,,,7600445440,100784,75413.21,10,131072,4294967296,56.5094,65536,3221225472,42.3821,191993,24,17.65,0,0,0.0,0,0,0,0,0,0,0,0,0,0,191993,63993,32000,32000,32000,0,0,64000,192000,32000,0,18,0,256000,
mamba_tiny_s4096.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,1114112001,1114112,8000,31710.735645,0.004947,180224,5.683425,35134.0,0,,0.46,0.0,99.8527,69.8555,,,0.46,0.0,0.0,99.8527,69.8555,20480.0,1114112001.0,45056.0,178176.0,3.95,26624.0,26624.0,2828135,58626318,0.04602,807403520.0,819462144.0,106496,34078720,0.003115,412811.0,412811.0,412811.0,412811.0,16,0.3508469710020098,6077952,383488,93.2416,0.0102,6.7483,1337469388.0,6066688.0,383488.0,,,,,,,,,,,,,,7782856130560,103202816,75413.21,10,131072,4398046511104,56.5094,65536,3298534883328,42.3821,196597761,24576,17.65,0,0,0.0,0,0,0,0,0,0,0,0,0,0,196601854,65529855,32768000,32768000,32768000,0,0,65536000,196608000,32768000,0,18435,0,262144000,
mamba_tiny_s512.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,139264001,139264,8000,3104.159559,0.008998,22528,7.25796,44864.0,0,,0.46,0.0,99.8527,69.8555,,,0.46,0.0,0.0,99.8527,69.8555,2560.0,139264001.0,5632.0,22272.0,3.9525,3328.0,3328.0,353246,7327940,0.045988,100925440.0,102432768.0,13312,4259840,0.003115,51601.0,51601.0,51601.0,51601.0,16,0.3509043927648579,759744,47936,93.2418,0.0138,6.7444,167183674.0,758336.0,47936.0,,,,,,,,,,,,,,972857016320,12900352,75413.21,10,131072,549755813888,56.5094,65536,412316860416,42.3821,24574721,3072,17.65,0,0,0.0,0,0,0,0,0,0,0,0,0,0,24575230,8191231,4096000,4096000,4096000,0,0,8192000,24576000,4096000,0,2307,0,32768000,
mamba_tiny_s64.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,17408001,17408,8000,534.314261,0.008161,2816,5.273354,32580.0,0,,0.4625,0.0,99.8526,69.8555,,,0.4625,0.0,0.0,99.8526,69.8555,320.0,17408001.0,704.0,2784.0,3.955,416.0,416.0,44080,916247,0.045901,12615680.0,12804096.0,1664,532480,0.003115,6450.0,6450.0,6450.0,6450.0,16,0.35277905374368396,94987,5987,93.2383,0.0425,6.7193,20897960.0,94792.0,5992.0,,,,,,,,,,,,,,121607127040,1612544,75413.21,10,131072,68719476736,56.5094,65536,51539607552,42.3821,3071841,384,17.65,0,0,0.0,0,0,0,0,0,0,0,0,0,0,3071902,1023903,512000,512000,512000,0,0,1024000,3072000,512000,0,291,0,4096000,
mamba_tiny_s8.log,,,ok,4,131072.0,32768,4096,614.0,,,,,,false,,,,,,2176001,2176,8000,80.687792,0.005934,352,4.378639,26968.0,0,,0.46,0.0,99.8526,69.8555,,,0.46,0.0,0.0,99.8526,69.8555,40.0,2176001.0,88.0,348.0,3.955,52.0,52.0,5451,114549,0.045425,1576960.0,1600512.0,208,66560,0.003115,806.0,806.0,806.0,806.0,16,0.3516483516483517,11864,748,93.2484,0.261,6.4906,2612245.0,11849.0,749.0,,,,,,,,,,,,,,15200890880,201568,75413.21,10,131072,8589934592,56.5094,65536,6442450944,42.3821,383981,48,17.65,0,0,0.0,0,0,0,0,0,0,0,0,0,0,383986,127987,64000,64000,64000,0,0,128000,384000,64000,0,39,0,512000,
